FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
.well-known/acme-challenge,https://t.wb-bank.ru/.well-known/acme-challenge,https://t.wb-bank.ru/.well-known/acme-challenge/,3916,301,162,5,8,text/html,101.694352ms,,ff3e9f4c
assets,https://t.wb-bank.ru/assets,http://t.wb-bank.ru/assets/,17622,301,169,5,8,text/html,90.476374ms,,ff3e944d6
assets?a=.js,https://t.wb-bank.ru/assets?a=.js,http://t.wb-bank.ru/assets/?a=.js,17660,301,169,5,8,text/html,85.123617ms,,ff3e944fc
favicon.ico,https://t.wb-bank.ru/favicon.ico,,46775,200,135450,114,1,image/x-icon,93.727263ms,,ff3e9b6b7
healthz,https://t.wb-bank.ru/healthz,,53538,200,15,1,1,application/json,94.505104ms,,ff3e9d122
icons,https://t.wb-bank.ru/icons,http://t.wb-bank.ru/icons/,55824,301,169,5,8,text/html,100.385354ms,,ff3e9da10
l,https://t.wb-bank.ru/l,https://wb-bank.efin.ru/,63381,301,169,5,8,text/html,92.686306ms,,ff3e9f795
logos,https://t.wb-bank.ru/logos,http://t.wb-bank.ru/logos/,66361,301,169,5,8,text/html,89.444381ms,,ff3e910339
manifest.json,https://t.wb-bank.ru/manifest.json,,67945,200,1016,307,36,application/json,89.416102ms,,ff3e910969
pdf,https://t.wb-bank.ru/pdf,http://t.wb-bank.ru/pdf/,77823,301,169,5,8,text/html,100.809208ms,,ff3e912fff
robots.txt,https://t.wb-bank.ru/robots.txt,,87228,200,26,3,3,text/plain,105.875522ms,,ff3e9154bc
splash,https://t.wb-bank.ru/splash,http://t.wb-bank.ru/splash/,95988,301,169,5,8,text/html,101.649952ms,,ff3e9176f4
static/../../../a/../../../../etc/passwd,https://t.wb-bank.ru/static/../../../a/../../../../etc/passwd,,97471,400,150,5,8,text/html,97.65733ms,,ff3e917cbf
version.json,https://t.wb-bank.ru/version.json,,109160,200,85,1,1,application/json,95.304335ms,,ff3e91aa68
